#,Country,GDP,GDP (Full Value),GDP Growth,GDP per Capita
1,United States,$32.38 trillion,"$32,383,920,000,000",2.32%,"$94,430"
2,China,$20.85 trillion,"$20,851,593,000,000",4.41%,"$14,874"
3,Germany,$5.45 trillion,"$5,452,858,000,000",0.79%,"$65,303"
4,Japan,$4.38 trillion,"$4,379,253,000,000",0.72%,"$35,703"
5,United Kingdom,$4.26 trillion,"$4,264,794,000,000",0.80%,"$61,056"
6,India,$4.15 trillion,"$4,153,191,000,000",6.48%,"$2,813"
7,France,$3.6 trillion,"$3,596,094,000,000",0.86%,"$52,083"
8,Italy,$2.74 trillion,"$2,738,164,000,000",0.52%,"$46,505"
9,Russia,$2.66 trillion,"$2,656,452,000,000",1.09%,"$18,525"
10,Brazil,$2.64 trillion,"$2,635,912,000,000",1.91%,"$12,313"
11,Canada,$2.51 trillion,"$2,507,340,000,000",1.50%,"$60,305"
12,Australia,$2.12 trillion,"$2,123,963,000,000",2.01%,"$75,648"
13,Mexico,$2.12 trillion,"$2,120,855,000,000",1.64%,"$15,779"
14,Spain,$2.09 trillion,"$2,091,222,000,000",2.09%,"$41,563"
15,South Korea,$1.93 trillion,"$1,931,008,000,000",1.86%,"$37,412"
16,Turkey,$1.64 trillion,"$1,640,223,000,000",3.37%,"$19,018"
17,Indonesia,$1.54 trillion,"$1,539,872,000,000",4.95%,"$5,362"
18,Netherlands,$1.45 trillion,"$1,449,704,000,000",1.23%,"$79,918"
19,Saudi Arabia,$1.39 trillion,"$1,388,676,000,000",3.12%,"$37,811"
20,Switzerland,$1.15 trillion,"$1,146,911,000,000",1.34%,"$126,177"
21,Poland,$1.13 trillion,"$1,134,248,000,000",3.32%,"$31,336"
22,Taiwan,$976.72 billion,"$976,719,000,000",5.18%,"$42,103"
23,Ireland,$779.38 billion,"$779,381,000,000",2.52%,"$140,186"
24,Belgium,$776.73 billion,"$776,730,000,000",0.66%,"$65,112"
25,Sweden,$760.48 billion,"$760,481,000,000",1.96%,"$70,676"
26,Israel,$719.85 billion,"$719,848,000,000",3.53%,"$69,804"
27,Argentina,$688.38 billion,"$688,378,000,000",3.50%,"$14,357"
28,Singapore,$659.57 billion,"$659,572,000,000",3.51%,"$107,758"
29,Austria,$623.72 billion,"$623,719,000,000",0.68%,"$67,761"
30,United Arab Emirates,$621.55 billion,"$621,546,000,000",3.14%,"$54,214"
31,Norway,$599.41 billion,"$599,406,000,000",1.48%,"$105,877"
32,Thailand,$580 billion,"$579,996,000,000",1.50%,"$8,105"
33,Colombia,$539.53 billion,"$539,530,000,000",2.34%,"$10,104"
34,Vietnam,$527.27 billion,"$527,266,000,000",7.10%,"$5,115"
35,Malaysia,$516.43 billion,"$516,428,000,000",4.70%,"$15,085"
36,Philippines,$512.22 billion,"$512,222,000,000",4.07%,"$4,443"
37,Bangladesh,$510.7 billion,"$510,705,000,000",4.69%,"$2,911"
38,Denmark,$503.77 billion,"$503,772,000,000",2.00%,"$83,445"
39,Romania,$480.83 billion,"$480,834,000,000",0.69%,"$25,693"
40,South Africa,$479.96 billion,"$479,964,000,000",1.05%,"$7,503"
41,Hong Kong,$450.14 billion,"$450,138,000,000",2.42%,"$59,640"
42,Czech Republic (Czechia),$432.6 billion,"$432,597,000,000",2.23%,"$39,795"
43,Egypt,$429.64 billion,"$429,645,000,000",4.24%,"$3,904"
44,Chile,$407.85 billion,"$407,850,000,000",2.40%,"$20,240"
45,Pakistan,$407.79 billion (2025),"$407,786,000,000",3.09%,"$1,696"
46,Peru,$380.9 billion,"$380,900,000,000",2.82%,"$10,960"
47,Portugal,$380.64 billion,"$380,637,000,000",1.93%,"$35,434"
48,Nigeria,$377.37 billion,"$377,365,000,000",4.06%,"$1,556"
